Instancia,Modelo_Formulacao,Solver,Versao_Solver,Tempo_Limite_Seg,Tempo_Execucao_Seg,Status,Solucao_Corrente_Obj,Best_Bound,Gap_Percentual
Random-400-400-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,21600.0,21601.6,FEASIBLE,179,2,98.8827
Random-600-600-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,21600.0,21601.35,FEASIBLE,272,2,99.2647
Random-800-800-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,21600.0,21601.19,FEASIBLE,355,2,99.4366
Random-1000-1000-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,21600.0,21600.83,FEASIBLE,563,3,99.4671
Random-1000-1000-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,3600.0,3600.69,FEASIBLE,563,3,99.4671
Random-800-800-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,3600.0,3600.33,FEASIBLE,447,2,99.5526
Random-600-600-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,3600.0,3600.7,FEASIBLE,318,2,99.3711
Random-400-400-2-1.txt_transposta,CP_Intervalos,OR-Tools (CP-SAT),9.12.4544,3600.0,3600.36,FEASIBLE,185,2,98.9189
