tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
400x400,conjunto 34,6,472720,393,"393,90"
400x400,conjunto 34,7,439446,393,"393,90"
400x400,conjunto 34,8,229483,393,"393,90"
400x400,conjunto 34,9,492392,393,"393,90"
400x400,conjunto 34,10,463784,393,"393,90"
600x600,conjunto 2,1,127058,96,"125,40"
600x600,conjunto 2,2,127440,104,"125,40"
600x600,conjunto 2,3,130245,101,"125,40"
600x600,conjunto 2,4,130310,107,"125,40"
600x600,conjunto 2,5,133672,112,"125,40"
600x600,conjunto 2,6,128983,109,"125,40"
600x600,conjunto 2,7,126634,104,"125,40"
600x600,conjunto 2,8,133040,115,"125,40"
600x600,conjunto 2,9,134862,102,"125,40"
600x600,conjunto 2,10,126854,108,"125,40"
600x600,conjunto 4,1,158641,230,"266,40"
600x600,conjunto 4,2,169710,235,"266,40"
600x600,conjunto 4,3,169057,239,"266,40"
600x600,conjunto 4,4,165860,234,"266,40"
600x600,conjunto 4,5,165197,255,"266,40"
600x600,conjunto 4,6,167830,251,"266,40"
600x600,conjunto 4,7,162378,244,"266,40"
600x600,conjunto 4,8,168048,250,"266,40"
600x600,conjunto 4,9,87915,245,"266,40"
600x600,conjunto 4,10,163433,246,"266,40"
600x600,conjunto 6,1,211857,356,"379,20"
600x600,conjunto 6,2,209994,353,"379,20"
600x600,conjunto 6,3,208958,363,"379,20"
600x600,conjunto 6,4,210422,347,"379,20"
600x600,conjunto 6,5,207189,367,"379,20"
600x600,conjunto 6,6,214075,368,"379,20"
600x600,conjunto 6,7,208839,364,"379,20"
600x600,conjunto 6,8,213078,368,"379,20"
600x600,conjunto 6,9,208968,365,"379,20"
600x600,conjunto 6,10,212351,364,"379,20"
600x600,conjunto 8,1,246996,436,"452,60"
600x600,conjunto 8,2,134132,438,"452,60"
600x600,conjunto 8,3,261896,446,"452,60"
600x600,conjunto 8,4,252687,430,"452,60"
600x600,conjunto 8,5,248794,435,"452,60"
600x600,conjunto 8,6,241468,441,"452,60"
600x600,conjunto 8,7,246126,435,"452,60"
600x600,conjunto 8,8,248208,445,"452,60"
600x600,conjunto 8,9,254012,436,"452,60"
600x600,conjunto 8,10,122951,439,"452,60"
600x600,conjunto 10,1,290831,484,"494,50"
600x600,conjunto 10,2,285094,483,"494,50"
600x600,conjunto 10,3,297000,490,"494,50"
600x600,conjunto 10,4,286796,480,"494,50"
600x600,conjunto 10,5,267288,483,"494,50"
