tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
1000x1000,conjunto 38,10,1442961,985,"985,00"
1000x1000,conjunto 40,1,1421500,986,"986,70"
1000x1000,conjunto 40,2,1542430,987,"986,70"
1000x1000,conjunto 40,3,1456689,987,"986,70"
1000x1000,conjunto 40,4,1547376,987,"986,70"
1000x1000,conjunto 40,5,1414085,986,"986,70"
1000x1000,conjunto 40,6,1582713,986,"986,70"
1000x1000,conjunto 40,7,1505847,986,"986,70"
1000x1000,conjunto 40,8,1469506,986,"986,70"
1000x1000,conjunto 40,9,1327710,987,"986,70"
1000x1000,conjunto 40,10,1481491,986,"986,70"
1000x1000,conjunto 44,1,1614926,989,"989,20"
1000x1000,conjunto 44,2,1551042,989,"989,20"
1000x1000,conjunto 44,3,1637670,989,"989,20"
1000x1000,conjunto 44,4,1668311,989,"989,20"
1000x1000,conjunto 44,5,1619932,989,"989,20"
1000x1000,conjunto 44,6,1658591,989,"989,20"
1000x1000,conjunto 44,7,1661213,988,"989,20"
1000x1000,conjunto 44,8,1622962,989,"989,20"
1000x1000,conjunto 44,9,1675029,989,"989,20"
1000x1000,conjunto 44,10,1665772,989,"989,20"
1000x1000,conjunto 48,1,1757176,990,"991,40"
1000x1000,conjunto 48,2,1639667,991,"991,40"
1000x1000,conjunto 48,3,1685859,991,"991,40"
1000x1000,conjunto 48,4,1747299,991,"991,40"
1000x1000,conjunto 48,5,1788297,991,"991,40"
1000x1000,conjunto 48,6,847482,991,"991,40"
1000x1000,conjunto 48,7,1640618,990,"991,40"
1000x1000,conjunto 48,8,1696420,991,"991,40"
1000x1000,conjunto 48,9,1766031,991,"991,40"
1000x1000,conjunto 48,10,1750036,991,"991,40"
1000x1000,conjunto 50,1,1684636,990,"991,60"
1000x1000,conjunto 50,2,1725845,992,"991,60"
1000x1000,conjunto 50,3,1775331,992,"991,60"
1000x1000,conjunto 50,4,1742279,991,"991,60"
1000x1000,conjunto 50,5,1771285,992,"991,60"
1000x1000,conjunto 50,6,1725194,992,"991,60"
1000x1000,conjunto 50,7,1930298,992,"991,60"
1000x1000,conjunto 50,8,1707124,992,"991,60"
1000x1000,conjunto 50,9,1691758,992,"991,60"
1000x1000,conjunto 50,10,1763755,992,"991,60"
1000x1000,conjunto 54,1,1980018,993,"992,90"
1000x1000,conjunto 54,2,1888941,993,"992,90"
1000x1000,conjunto 54,3,1852596,993,"992,90"
1000x1000,conjunto 54,4,1915289,993,"992,90"
1000x1000,conjunto 54,5,1899012,993,"992,90"
1000x1000,conjunto 54,6,1880866,993,"992,90"
1000x1000,conjunto 54,7,1922803,993,"992,90"
1000x1000,conjunto 54,8,1944301,993,"992,90"
1000x1000,conjunto 54,9,1915544,993,"992,90"
1000x1000,conjunto 54,10,1907697,993,"992,90"
