Instancia,Modelo_Formulacao,Solver,Versao_Solver,Tempo_Limite_Seg,Tempo_Execucao_Seg,Status,Solucao_Corrente_Obj,Best_Bound,Gap_Percentual
../../Instances/Frinhani/Random-400-400-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,21600,21600,FEASIBLE,72,1,98.6111
../../Instances/Frinhani/Random-600-600-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,21600,21600,FEASIBLE,99,1,98.9899
../../Instances/Frinhani/Random-800-800-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,21600,21600,FEASIBLE,135,1,99.2593
../../Instances/Frinhani/Random-1000-1000-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,21600,21600,FEASIBLE,187,1,99.4652
../../Instances/Frinhani/Random-400-400-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,3600,3600,FEASIBLE,72,1,98.6111
../../Instances/Frinhani/Random-600-600-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,3600,3600,FEASIBLE,99,1,98.9899
../../Instances/Frinhani/Random-800-800-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,3600,3600,FEASIBLE,140,1,99.2857
../../Instances/Frinhani/Random-1000-1000-2-1.txt_transposta,DP_AStar,Chu-Stuckey_C++,2005,3600,3615.85,FEASIBLE,197,1,99.4924
