Concorrente,Grupo,Instâncias,Wins,Ties,Losses,p_valor_ajustado,Teste
PieceRank,Global,61,61,0,0,2.7678069694915808e-11,Wilcoxon (Unilateral)
PieceRank,1000x1000,18,18,0,0,1.52587890625e-05,Wilcoxon (Unilateral)
PieceRank,400x400,12,12,0,0,0.0008993826086333995,t-Student (Unilateral)
PieceRank,600x600,14,14,0,0,0.0001220703125,Wilcoxon (Unilateral)
PieceRank,800x800,17,17,0,0,2.288818359375e-05,Wilcoxon (Unilateral)
